"actor_name","title","length","filmlen_groups"
"Johnny Lollobrigida","Smile Earring",60,NULL
"Johnny Lollobrigida","Soldiers Evolution",185,"Group 4"
"Johnny Lollobrigida","Star Operation",181,"Group 4"
"Johnny Lollobrigida","Sunrise League",135,"Group 3"
"Bette Nicholson","Antitrust Tomatoes",168,"Group 3"
"Bette Nicholson","Bang Kwai",87,"Group 2"
"Bette Nicholson","Beast Hunchback",89,"Group 2"
"Bette Nicholson","Bikini Borrowers",142,"Group 3"
"Bette Nicholson","Calendar Gunfight",120,NULL
"Bette Nicholson","Coast Rainbow",55,"Group 1"
"Bette Nicholson","Coldblooded Darling",70,"Group 2"
"Bette Nicholson","Crossroads Casualties",153,"Group 3"
"Bette Nicholson","Drop Waterfront",178,"Group 3"
"Bette Nicholson","Igby Maker",160,"Group 3"
"Bette Nicholson","Kramer Chocolate",171,"Group 3"
"Bette Nicholson","Language Cowboy",78,"Group 2"
"Bette Nicholson","Lesson Cleopatra",167,"Group 3"
"Bette Nicholson","Liberty Magnificent",138,"Group 3"
"Bette Nicholson","Mulholland Beast",157,"Group 3"
"Bette Nicholson","Potluck Mixed",179,"Group 3"
"Bette Nicholson","Speed Suit",124,"Group 3"
"Bette Nicholson","Titanic Boondock",104,"Group 2"
"Bette Nicholson","Trading Pinocchio",170,"Group 3"
"Bette Nicholson","Wyoming Storm",100,"Group 2"
"Grace Mostel","Angels Life",74,"Group 2"
"Grace Mostel","Anonymous Human",179,"Group 3"
"Grace Mostel","Arachnophobia Rollercoaster",147,"Group 3"
"Grace Mostel","Berets Agent",77,"Group 2"
"Grace Mostel","Breaking Home",169,"Group 3"
"Grace Mostel","Command Darling",120,NULL
"Grace Mostel","Confessions Maguire",65,"Group 2"
"Grace Mostel","Dazed Punk",120,NULL
"Grace Mostel","Deceiver Betrayed",122,"Group 3"
"Grace Mostel","Destination Jerk",76,"Group 2"
"Grace Mostel","Excitement Eve",51,"Group 1"
"Grace Mostel","Gaslight Crusade",106,"Group 2"
"Grace Mostel","Hellfighters Sierra",75,"Group 2"
"Grace Mostel","Instinct Airport",116,"Group 2"
"Grace Mostel","Malkovich Pet",159,"Group 3"
"Grace Mostel","Necklace Outbreak",132,"Group 3"
"Grace Mostel","October Submarine",54,"Group 1"
"Grace Mostel","Open African",131,"Group 3"
"Grace Mostel","Poseidon Forever",159,"Group 3"
"Grace Mostel","Saints Bride",125,"Group 3"
"Grace Mostel","Savannah Town",84,"Group 2"
"Grace Mostel","Scissorhands Slums",147,"Group 3"
"Grace Mostel","Sleepless Monsoon",64,"Group 2"
"Grace Mostel","Sleepy Japanese",137,"Group 3"
"Grace Mostel","Sting Personal",93,"Group 2"
"Grace Mostel","Town Ark",136,"Group 3"
"Grace Mostel","Tracy Cider",142,"Group 3"
"Grace Mostel","Treatment Jekyll",87,"Group 2"
"Grace Mostel","War Notting",80,"Group 2"
"Grace Mostel","Warlock Werewolf",83,"Group 2"
"Matthew Johansson","Baby Hall",153,"Group 3"
"Matthew Johansson","Campus Remember",167,"Group 3"
"Matthew Johansson","Clones Pinocchio",124,"Group 3"
"Matthew Johansson","Conquerer Nuts",173,"Group 3"
"Matthew Johansson","Crowds Telemark",112,"Group 2"
"Matthew Johansson","Dances None",58,"Group 1"
"Matthew Johansson","Driving Polish",175,"Group 3"
"Matthew Johansson","Durham Panky",154,"Group 3"
"Matthew Johansson","Flash Wars",123,"Group 3"
"Matthew Johansson","Hanging Deep",62,"Group 2"
"Matthew Johansson","Indian Love",135,"Group 3"
"Matthew Johansson","Lights Deer",174,"Group 3"
"Matthew Johansson","Loser Hustler",80,"Group 2"
"Matthew Johansson","Malkovich Pet",159,"Group 3"
"Matthew Johansson","Runner Madigan",101,"Group 2"
"Matthew Johansson","School Jacket",151,"Group 3"
"Matthew Johansson","Scorpion Apollo",137,"Group 3"
"Matthew Johansson","Sugar Wonka",114,"Group 2"
"Matthew Johansson","Tomorrow Hustler",142,"Group 3"
"Matthew Johansson","Vanishing Rocky",123,"Group 3"
"Joe Swank","Anything Savannah",82,"Group 2"
"Joe Swank","Birch Antitrust",162,"Group 3"
"Joe Swank","Chocolat Harry",101,"Group 2"
"Joe Swank","Chocolate Duck",132,"Group 3"
"Joe Swank","Crooked Frogmen",143,"Group 3"
"Joe Swank","Curtain Videotape",133,"Group 3"
"Joe Swank","Dalmations Sweden",106,"Group 2"
"Joe Swank","Horror Reign",139,"Group 3"
"Joe Swank","Lawless Vision",181,"Group 4"
"Joe Swank","Lebowski Soldiers",69,"Group 2"
"Joe Swank","Majestic Floats",130,"Group 3"
"Joe Swank","Pacific Amistad",144,"Group 3"
"Joe Swank","Perdition Fargo",99,"Group 2"
"Joe Swank","Primary Glass",53,"Group 1"
"Joe Swank","Reef Salute",123,"Group 3"
"Joe Swank","Runner Madigan",101,"Group 2"
"Joe Swank","Smile Earring",60,NULL
"Joe Swank","Snatchers Montezuma",74,"Group 2"
"Joe Swank","Sunrise League",135,"Group 3"
"Joe Swank","Sweethearts Suspects",108,"Group 2"
"Joe Swank","Ties Hunger",111,"Group 2"
"Joe Swank","Traffic Hobbit",139,"Group 3"
"Joe Swank","Untouchables Sunrise",120,NULL
"Joe Swank","Waterfront Deliverance",61,"Group 2"
"Joe Swank","Wild Apollo",181,"Group 4"
"Christian Gable","Academy Dinosaur",86,"Group 2"
"Christian Gable","Alabama Devil",114,"Group 2"
"Christian Gable","Crooked Frogmen",143,"Group 3"
"Christian Gable","Divine Resurrection",100,"Group 2"
"Christian Gable","Dragonfly Strangers",133,"Group 3"
"Christian Gable","Goldfinger Sensibility",93,"Group 2"
"Christian Gable","Jawbreaker Brooklyn",118,"Group 2"
"Christian Gable","Jeepers Wedding",84,"Group 2"
"Christian Gable","Life Twisted",137,"Group 3"
"Christian Gable","Lord Arizona",108,"Group 2"
"Christian Gable","Mod Secretary",77,"Group 2"
"Christian Gable","Prejudice Oleander",98,"Group 2"
"Christian Gable","Punk Divorce",100,"Group 2"
"Christian Gable","Reap Unfaithful",136,"Group 3"
"Christian Gable","Shakespeare Saddle",60,NULL
"Christian Gable","Trouble Date",61,"Group 2"
"Christian Gable","Usual Untouchables",128,"Group 3"
"Christian Gable","Vacation Boondock",145,"Group 3"
"Christian Gable","Waterfront Deliverance",61,"Group 2"
"Christian Gable","Wedding Apollo",70,"Group 2"
"Christian Gable","Wizard Coldblooded",75,"Group 2"
"Christian Gable","Won Dares",105,"Group 2"
"Zero Cage","Canyon Stock",85,"Group 2"
"Zero Cage","Dances None",58,"Group 1"
"Zero Cage","Encino Elf",143,"Group 3"
"Zero Cage","Ending Crowds",85,"Group 2"
"Zero Cage","Gandhi Kwai",86,"Group 2"
"Zero Cage","Godfather Diary",73,"Group 2"
"Zero Cage","Handicap Boondock",108,"Group 2"
"Zero Cage","Honey Ties",84,"Group 2"
"Zero Cage","Horn Working",95,"Group 2"
"Zero Cage","Image Princess",178,"Group 3"
"Zero Cage","Jersey Sassy",60,NULL
"Zero Cage","Loser Hustler",80,"Group 2"
"Zero Cage","Meet Chocolate",80,"Group 2"
"Zero Cage","Mod Secretary",77,"Group 2"
"Zero Cage","Moonwalker Fool",184,"Group 4"
"Zero Cage","Oleander Clue",161,"Group 3"
"Zero Cage","Racer Egg",147,"Group 3"
"Zero Cage","Story Side",163,"Group 3"
"Zero Cage","Strangers Graffiti",119,"Group 2"
"Zero Cage","Thin Sagebrush",53,"Group 1"
"Zero Cage","Tootsie Pilot",157,"Group 3"
"Zero Cage","Uptown Young",84,"Group 2"
"Zero Cage","Velvet Terminator",173,"Group 3"
"Zero Cage","West Lion",159,"Group 3"
"Zero Cage","Worker Tarzan",139,"Group 3"
"Karl Berry","Alley Evolution",180,NULL
"Karl Berry","Alone Trip",82,"Group 2"
"Karl Berry","Arabia Dogma",62,"Group 2"
"Karl Berry","Arizona Bang",121,"Group 3"
"Karl Berry","Bound Cheaper",98,"Group 2"
"Karl Berry","Bowfinger Gables",72,"Group 2"
"Karl Berry","Bunch Minds",63,"Group 2"
"Karl Berry","Cleopatra Devil",150,"Group 3"
"Karl Berry","Connecticut Tramp",172,"Group 3"
"Karl Berry","Dares Pluto",89,"Group 2"
"Karl Berry","Date Speed",104,"Group 2"
"Karl Berry","Day Unfaithful",113,"Group 2"
"Karl Berry","Doors President",49,"Group 1"
"Karl Berry","Fury Murder",178,"Group 3"
"Karl Berry","Hardly Robbers",72,"Group 2"
"Karl Berry","Highball Potter",110,"Group 2"
"Karl Berry","Holes Brannigan",128,"Group 3"
"Karl Berry","Independence Hotel",157,"Group 3"
"Karl Berry","Leathernecks Dwarfs",153,"Group 3"
"Karl Berry","Lucky Flying",97,"Group 2"
"Karl Berry","Monterey Labyrinth",158,"Group 3"
"Karl Berry","Novocaine Flight",64,"Group 2"
"Karl Berry","Oklahoma Jumanji",58,"Group 1"
"Karl Berry","Perfect Groove",82,"Group 2"
"Karl Berry","Reap Unfaithful",136,"Group 3"
"Karl Berry","Reunion Witches",63,"Group 2"
"Karl Berry","Smoking Barbarella",50,"Group 1"
"Karl Berry","Stagecoach Armageddon",112,"Group 2"
"Karl Berry","Sweden Shining",176,"Group 3"
"Karl Berry","Telemark Heartbreakers",152,"Group 3"
"Karl Berry","Virginian Pluto",164,"Group 3"
"Uma Wood","Alone Trip",82,"Group 2"
"Uma Wood","Antitrust Tomatoes",168,"Group 3"
"Uma Wood","Attraction Newton",83,"Group 2"
"Uma Wood","Boondock Ballroom",76,"Group 2"
"Uma Wood","Cabin Flash",53,"Group 1"
"Uma Wood","Chinatown Gladiator",61,"Group 2"
"Uma Wood","Clash Freddy",81,"Group 2"
"Uma Wood","Clueless Bucket",95,"Group 2"
"Uma Wood","Daisy Menagerie",84,"Group 2"
"Uma Wood","Driver Annie",159,"Group 3"
"Uma Wood","Frida Slipper",73,"Group 2"
"Uma Wood","Galaxy Sweethearts",128,"Group 3"
"Uma Wood","Grinch Massage",150,"Group 3"
"Uma Wood","Groundhog Uncut",139,"Group 3"
"Uma Wood","Homeward Cider",103,"Group 2"
"Uma Wood","Inch Jet",167,"Group 3"
"Uma Wood","Leathernecks Dwarfs",153,"Group 3"
"Uma Wood","Legally Secretary",113,"Group 2"
"Uma Wood","Life Twisted",137,"Group 3"
"Uma Wood","Lion Uncut",50,"Group 1"
"Uma Wood","Lolita World",155,"Group 3"
"Uma Wood","Metal Armageddon",161,"Group 3"
"Uma Wood","Model Fish",175,"Group 3"
"Uma Wood","Moonwalker Fool",184,"Group 4"
"Uma Wood","Motions Details",166,"Group 3"
"Uma Wood","Rebel Airport",73,"Group 2"
"Uma Wood","Rider Caddyshack",177,"Group 3"
"Uma Wood","Snowman Rollercoaster",62,"Group 2"
"Uma Wood","Soldiers Evolution",185,"Group 4"
"Uma Wood","Splash Gump",175,"Group 3"
"Uma Wood","Splendor Patton",134,"Group 3"
"Uma Wood","Steel Santa",143,"Group 3"
"Uma Wood","Torque Bound",179,"Group 3"
"Uma Wood","Wedding Apollo",70,"Group 2"
"Uma Wood","Zhivago Core",105,"Group 2"
"Vivien Bergen","Clash Freddy",81,"Group 2"
"Vivien Bergen","Cranes Reservoir",57,"Group 1"
"Vivien Bergen","Dirty Ace",147,"Group 3"
"Vivien Bergen","Donnie Alley",125,"Group 3"
"Vivien Bergen","Drifter Commandments",61,"Group 2"
"Vivien Bergen","Driving Polish",175,"Group 3"
"Vivien Bergen","Drums Dynamite",96,"Group 2"
"Vivien Bergen","Enemy Odds",77,"Group 2"
"Vivien Bergen","Excitement Eve",51,"Group 1"
"Vivien Bergen","Gorgeous Bingo",108,"Group 2"
"Vivien Bergen","High Encino",84,"Group 2"
"Vivien Bergen","Hills Neighbors",93,"Group 2"
"Vivien Bergen","Hobbit Alien",157,"Group 3"
"Vivien Bergen","Impact Aladdin",180,NULL
"Vivien Bergen","Italian African",174,"Group 3"
"Vivien Bergen","Japanese Run",135,"Group 3"
"Vivien Bergen","Kentuckian Giant",169,"Group 3"
"Vivien Bergen","Lovely Jingle",65,"Group 2"
"Vivien Bergen","Lover Truman",75,"Group 2"
"Vivien Bergen","Mussolini Spoilers",180,NULL
"Vivien Bergen","Polish Brooklyn",61,"Group 2"
"Vivien Bergen","Salute Apollo",73,"Group 2"
"Vivien Bergen","Saturday Lambs",150,"Group 3"
"Vivien Bergen","Stock Glass",160,"Group 3"
"Vivien Bergen","Streetcar Intentions",73,"Group 2"
"Vivien Bergen","Tights Dawn",172,"Group 3"
"Vivien Bergen","Trap Guys",110,"Group 2"
"Vivien Bergen","Tycoon Gathering",82,"Group 2"
"Vivien Bergen","Voice Peach",139,"Group 3"
"Vivien Bergen","Westward Seabiscuit",52,"Group 1"
"Cuba Olivier","Apache Divine",92,"Group 2"
"Cuba Olivier","Borrowers Bedazzled",63,"Group 2"
"Cuba Olivier","Bound Cheaper",98,"Group 2"
"Cuba Olivier","Butch Panther",67,"Group 2"
"Cuba Olivier","Cassidy Wyoming",61,"Group 2"
"Cuba Olivier","Divine Resurrection",100,"Group 2"
"Cuba Olivier","Egypt Tenenbaums",85,"Group 2"
"Cuba Olivier","Empire Malkovich",177,"Group 3"
"Cuba Olivier","Flying Hook",69,"Group 2"
"Cuba Olivier","Fugitive Maguire",83,"Group 2"
"Cuba Olivier","Hellfighters Sierra",75,"Group 2"
"Cuba Olivier","Hyde Doctor",100,"Group 2"
"Cuba Olivier","Kiss Glory",163,"Group 3"
"Cuba Olivier","Knock Warlock",71,"Group 2"
"Cuba Olivier","Luke Mummy",74,"Group 2"
"Cuba Olivier","Maker Gables",136,"Group 3"
"Cuba Olivier","Montezuma Command",126,"Group 3"
"Cuba Olivier","Noon Papi",57,"Group 1"
"Cuba Olivier","Oklahoma Jumanji",58,"Group 1"
"Cuba Olivier","Roses Treasure",162,"Group 3"
"Cuba Olivier","Shane Darkness",93,"Group 2"
"Cuba Olivier","Siege Madre",111,"Group 2"
"Cuba Olivier","Soldiers Evolution",185,"Group 4"
"Cuba Olivier","Theory Mermaid",184,"Group 4"
"Cuba Olivier","Unforgiven Zoolander",129,"Group 3"
"Cuba Olivier","Volcano Texas",157,"Group 3"
"Cuba Olivier","Werewolf Lola",79,"Group 2"
"Cuba Olivier","Wonderland Christmas",111,"Group 2"
"Fred Costner","Blanket Beverly",148,"Group 3"
"Fred Costner","Boondock Ballroom",76,"Group 2"
"Fred Costner","Brotherhood Blanket",73,"Group 2"
"Fred Costner","Carol Texas",151,"Group 3"
"Fred Costner","Cleopatra Devil",150,"Group 3"
"Fred Costner","Connecticut Tramp",172,"Group 3"
"Fred Costner","Deceiver Betrayed",122,"Group 3"
"Fred Costner","Deliverance Mulholland",100,"Group 2"
"Fred Costner","Eagles Panky",140,"Group 3"
"Fred Costner","Earring Instinct",98,"Group 2"
"Fred Costner","Easy Gladiator",148,"Group 3"
"Fred Costner","Empire Malkovich",177,"Group 3"
"Fred Costner","Entrapment Satisfaction",176,"Group 3"
"Fred Costner","Gables Metropolis",161,"Group 3"
"Fred Costner","Human Graffiti",68,"Group 2"
"Fred Costner","Image Princess",178,"Group 3"
"Fred Costner","Impossible Prejudice",103,"Group 2"
"Fred Costner","Inch Jet",167,"Group 3"
"Fred Costner","Kramer Chocolate",171,"Group 3"
"Fred Costner","Magnificent Chitty",53,"Group 1"
"Fred Costner","Miracle Virtual",162,"Group 3"
"Fred Costner","Mission Zoolander",164,"Group 3"
"Fred Costner","Rear Trading",97,"Group 2"
"Fred Costner","Saints Bride",125,"Group 3"
"Fred Costner","Sense Greek",54,"Group 1"
"Fred Costner","Theory Mermaid",184,"Group 4"
"Fred Costner","Weekend Personal",134,"Group 3"
"Helen Voight","Breaking Home",169,"Group 3"
"Helen Voight","Caper Motions",176,"Group 3"
"Helen Voight","Casper Dragonfly",163,"Group 3"
"Helen Voight","Cat Coneheads",112,"Group 2"
"Helen Voight","Clash Freddy",81,"Group 2"
"Helen Voight","Cupboard Sinners",56,"Group 1"
"Helen Voight","Cyclone Family",176,"Group 3"
"Helen Voight","Divine Resurrection",100,"Group 2"
"Helen Voight","Empire Malkovich",177,"Group 3"
"Helen Voight","Fever Empire",158,"Group 3"
"Helen Voight","Fidelity Devil",118,"Group 2"
"Helen Voight","Greatest North",93,"Group 2"
"Helen Voight","Independence Hotel",157,"Group 3"
"Helen Voight","Iron Moon",46,"Group 1"
"Helen Voight","Jaws Harry",112,"Group 2"
"Helen Voight","Kiss Glory",163,"Group 3"
"Helen Voight","Legally Secretary",113,"Group 2"
"Helen Voight","Lies Treatment",147,"Group 3"
"Helen Voight","Microcosmos Paradise",105,"Group 2"
"Helen Voight","Movie Shakespeare",53,"Group 1"
"Helen Voight","Mummy Creatures",160,"Group 3"
"Helen Voight","Road Roxanne",158,"Group 3"
"Helen Voight","Scissorhands Slums",147,"Group 3"
"Helen Voight","Side Ark",52,"Group 1"
"Helen Voight","Sinners Atlantis",126,"Group 3"
"Helen Voight","Stranger Strangers",139,"Group 3"
"Helen Voight","Sweethearts Suspects",108,"Group 2"
"Helen Voight","Tadpole Park",155,"Group 3"
"Helen Voight","Telemark Heartbreakers",152,"Group 3"
"Helen Voight","Voice Peach",139,"Group 3"
"Helen Voight","War Notting",80,"Group 2"
"Helen Voight","Warlock Werewolf",83,"Group 2"
"Dan Torn","Attacks Hate",113,"Group 2"
"Dan Torn","Boiled Dares",102,"Group 2"
"Dan Torn","Chinatown Gladiator",61,"Group 2"
"Dan Torn","Coneheads Smoochy",112,"Group 2"
"Dan Torn","Early Home",96,"Group 2"
"Dan Torn","Elizabeth Shane",152,"Group 3"
"Dan Torn","Empire Malkovich",177,"Group 3"
"Dan Torn","Flash Wars",123,"Group 3"
"Dan Torn","Gump Date",53,"Group 1"
"Dan Torn","Innocent Usual",178,"Group 3"
"Dan Torn","Insider Arizona",78,"Group 2"
"Dan Torn","Jerk Paycheck",172,"Group 3"
"Dan Torn","Lovely Jingle",65,"Group 2"
"Dan Torn","Mask Peach",123,"Group 3"
"Dan Torn","Mussolini Spoilers",180,NULL
"Dan Torn","Rear Trading",97,"Group 2"
"Dan Torn","Sling Luke",84,"Group 2"
"Dan Torn","State Wasteland",113,"Group 2"
"Dan Torn","Sun Confessions",141,"Group 3"
"Dan Torn","Tequila Past",53,"Group 1"
"Dan Torn","Tuxedo Mile",152,"Group 3"
"Dan Torn","Virgin Daisy",179,"Group 3"
"Bob Fawcett","Ace Goldfinger",48,"Group 1"
"Bob Fawcett","Adaptation Holes",50,"Group 1"
"Bob Fawcett","Chinatown Gladiator",61,"Group 2"
"Bob Fawcett","Circus Youth",90,"Group 2"
"Bob Fawcett","Control Anthem",185,"Group 4"
"Bob Fawcett","Dares Pluto",89,"Group 2"
"Bob Fawcett","Darn Forrester",185,"Group 4"
"Bob Fawcett","Dazed Punk",120,NULL
"Bob Fawcett","Dynamite Tarzan",141,"Group 3"
"Bob Fawcett","Hate Handicap",107,"Group 2"
"Bob Fawcett","Homicide Peach",141,"Group 3"
"Bob Fawcett","Jacket Frisco",181,"Group 4"
"Bob Fawcett","Jumanji Blade",121,"Group 3"
"Bob Fawcett","Lawless Vision",181,"Group 4"
"Bob Fawcett","Leathernecks Dwarfs",153,"Group 3"
"Bob Fawcett","Oscar Gold",115,"Group 2"
"Bob Fawcett","Pelican Comforts",48,"Group 1"
"Bob Fawcett","Personal Ladybugs",118,"Group 2"
"Bob Fawcett","Raging Airplane",154,"Group 3"
"Bob Fawcett","Run Pacific",145,"Group 3"
"Bob Fawcett","Runner Madigan",101,"Group 2"
"Bob Fawcett","Saddle Antitrust",80,"Group 2"
"Bob Fawcett","Scorpion Apollo",137,"Group 3"
"Bob Fawcett","Shawshank Bubble",80,"Group 2"
"Bob Fawcett","Taxi Kick",64,"Group 2"
"Lucille Tracy","Academy Dinosaur",86,"Group 2"
"Lucille Tracy","Banger Pinocchio",113,"Group 2"
"Lucille Tracy","Bedazzled Married",73,"Group 2"
"Lucille Tracy","Cheaper Clyde",87,"Group 2"
"Lucille Tracy","Chitty Lock",107,"Group 2"
"Lucille Tracy","Coldblooded Darling",70,"Group 2"
"Lucille Tracy","Dinosaur Secretary",63,"Group 2"
"Lucille Tracy","Doors President",49,"Group 1"
"Lucille Tracy","Earring Instinct",98,"Group 2"
"Lucille Tracy","Egg Igby",67,"Group 2"
"Lucille Tracy","Gandhi Kwai",86,"Group 2"
"Lucille Tracy","Goldfinger Sensibility",93,"Group 2"
"Lucille Tracy","Hyde Doctor",100,"Group 2"
"Lucille Tracy","Jaws Harry",112,"Group 2"
"Lucille Tracy","Jungle Closer",134,"Group 3"
"Lucille Tracy","King Evolution",184,"Group 4"
"Lucille Tracy","Lola Agent",85,"Group 2"
"Lucille Tracy","Lose Inch",137,"Group 3"
"Lucille Tracy","Loverboy Attacks",162,"Group 3"
"Lucille Tracy","Modern Dorado",74,"Group 2"
"Lucille Tracy","Orient Closer",118,"Group 2"
"Lucille Tracy","Pajama Jawbreaker",126,"Group 3"
"Lucille Tracy","Patient Sister",99,"Group 2"
"Lucille Tracy","Random Go",73,"Group 2"
"Lucille Tracy","Rear Trading",97,"Group 2"
"Lucille Tracy","Sagebrush Clueless",106,"Group 2"
"Lucille Tracy","Shanghai Tycoon",47,"Group 1"
"Lucille Tracy","Sun Confessions",141,"Group 3"
"Lucille Tracy","Wasteland Divine",85,"Group 2"
"Lucille Tracy","Window Side",85,"Group 2"
"Kirsten Paltrow","Agent Truman",169,"Group 3"
